condition,ttest2original,ttest2random,adjusted_pvals2original,adjusted_pvals2random,cohensd2original,cohensd2random,significance2original,significance2random,pvals2original,pvals2random
scrambled1,0.940051388714801,-14.281213249940327,0.40257286041507934,1.0274625486967266e-10,0.4204037615018747,-6.386752725607452,n.s.,***,0.3596362919451125,2.9231089877909384e-11
scrambled3,0.8572567681053512,-13.94260586844862,0.40257286041507934,1.0274625486967266e-10,0.38337688153106847,-6.23532290106772,n.s.,***,0.40257286041507934,4.351560203241582e-11
scrambled5,2.6840847090746043,-13.363001744303084,0.02121694527865487,1.5339237305764572e-10,1.2003591733717123,-5.976116056741991,*,***,0.015154960913324909,8.765278460436897e-11
scrambled7,2.7883034205310517,-11.167910749206838,0.02121694527865487,2.2264858904634092e-09,1.2469671980405235,-4.994441520375418,*,***,0.01213699721478148,1.590347064616721e-09
backward,4.717750476236528,-13.932630136370307,0.001181265248851294,1.0274625486967266e-10,2.109842153149377,-6.230861618057233,**,***,0.00017164562878995543,4.403410922985971e-11
lowpmi,3.4668023017322698,-8.226336499779533,0.006421868219575326,1.6434282196545132e-07,1.5504011222452185,-3.6789295238589443,**,***,0.002752229236960854,1.6434282196545132e-07
lowpmi-random,4.410540337841637,-10.829393043798175,0.001181265248851294,3.0159419421141378e-09,1.9724536025837576,-4.843051800199215,**,***,0.00033750435681465543,2.5850930932406895e-09
nouns,4.696246380507596,-6.266392273414927,0.0004498102901464761,8.201654094869017e-06,2.1002252291804653,-2.802415819407045,***,***,0.00017992411605859045,6.561323275895214e-06
nounsverbs,2.915949437484968,-10.82383218225304,0.015369997109062498,1.3030265334458038e-08,1.3040522322337327,-4.8405649073135395,*,***,0.009221998265437499,2.606053066891608e-09
nounsverbsadj,2.026006001716796,-8.137031327906854,0.07230956213038546,3.204272253304828e-07,0.9060574285322622,-3.6389910368490206,n.s.,***,0.057847649704308376,1.9225633519828967e-07
contentwords,1.4187457317510241,-8.977279375182055,0.17305672008773357,1.1432762829813918e-07,0.6344823797965944,-4.014761387182782,n.s.,***,0.17305672008773357,4.573105131925567e-08
functionwords,16.45174413485829,-0.46149715798252916,1.3607156502162501e-11,0.6499701834204153,7.35744364679532,-0.20638780333437884,***,n.s.,2.7214313004325003e-12,0.6499701834204153
sent_passage,2.960358464920166,-10.992518511513545,0.008376393804109664,6.127954560539343e-09,1.323912553065683,-4.916003727133818,**,***,0.008376393804109664,2.042651520179781e-09
sent_topic,13.411148169671847,-2.410578534547989,1.2393130345554244e-10,0.04025605938765993,5.997647792741627,-1.0780434936702257,***,*,8.262086897036161e-11,0.026837372925106618
sent_random,16.496613840044212,0.7013071125251289,7.796246630276306e-12,0.49207952986261105,7.377509988980541,0.3136340753420568,***,n.s.,2.5987488767587687e-12,0.49207952986261105
