score,error,condition,category,stimulus,labelname
0.7673746273290377,0.1113279195502791,Original,original,beekeeping encourages the conservation of local habitats.,Original: beekeeping encourages the conservation of local habitats.
0.7566992443933406,0.1295790118263815,1LocalWordSwap,word-order,beekeeping encourages the conservation of habitats local.,1LocalWordSwap: beekeeping encourages the conservation of habitats local.
0.6805889137803673,0.17033925168370784,3LocalWordSwaps,word-order,beekeeping conservation encourages the of habitats local.,3LocalWordSwaps: beekeeping conservation encourages the of habitats local.
0.6635519244824498,0.1550691156735384,5LocalWordSwaps,word-order,conservation beekeeping encourages the habitats of local.,5LocalWordSwaps: conservation beekeeping encourages the habitats of local.
0.6883420242673689,0.11601010743324719,7LocalWordSwaps,word-order,beekeeping conservation of encourages habitats local the.,7LocalWordSwaps: beekeeping conservation of encourages habitats local the.
0.5637041458543944,0.1505422875014556,ReverseOrder,word-order,habitats local of conservation the encourages beekeeping.,ReverseOrder: habitats local of conservation the encourages beekeeping.
0.6860803555588615,0.08102499231284561,LowPMI,word-order,beekeeping conservation habitats the of encourages local.,LowPMI: beekeeping conservation habitats the of encourages local.
0.5977471392799081,0.14536819647442895,LowPMIRand,word-order,encourages the beekeeping of habitats conservation local.,LowPMIRand: encourages the beekeeping of habitats conservation local.
0.7053936367706819,0.10080463571437742,KeepContentW,information-loss,beekeeping encourages conservation local habitats.,KeepContentW: beekeeping encourages conservation local habitats.
0.7025679739182727,0.09219745026617336,KeepNVAdj,information-loss,beekeeping encourages conservation local habitats.,KeepNVAdj: beekeeping encourages conservation local habitats.
0.6774054734219441,0.09139473503851638,KeepNV,information-loss,beekeeping encourages conservation habitats.,KeepNV: beekeeping encourages conservation habitats.
0.5608984444902724,0.141447671699812,KeepN,information-loss,conservation habitats.,KeepN: conservation habitats.
0.13389268712128233,0.0714046063153133,KeepFunctionW,information-loss,the of.,KeepFunctionW: the of.
0.8084516986262174,0.24759661607244693,RandSentFromPassage,semantic-distance,it is in every beekeeper's interest to conserve local plants that produce pollen.,RandSentFromPassage: it is in every beekeeper's interest to conserve local plants that produce pollen.
0.2664856984976088,0.09428903778713023,RandSentFromTopic,semantic-distance,artisanal honey-making emphasizes quality and character over quantity and consistency.,RandSentFromTopic: artisanal honey-making emphasizes quality and character over quantity and consistency.
0.04461326619184054,0.049910398789209255,RandSent,semantic-distance,and for society hip fractures involve substantial expense and time in the hospital.,RandSent: and for society hip fractures involve substantial expense and time in the hospital.
0.08114748864979923,0.05784569074204027,RandWordList,control,three climb around the the spears vapor.,RandWordList: three climb around the the spears vapor.
