,exp_condition1,exp_condition2,ttest,adjusted_pval,significance,pvals,manipulation
0,train-intact-test-perturbed:contextualized,train-intact-test-perturbed:contextualized,0.0,1.0,n.s.,1.0,semantic-distance
1,train-intact-test-perturbed:contextualized,train-intact-test-perturbed:decontextualized,0.704,0.646,n.s.,0.48421520075868185,semantic-distance
2,train-intact-test-perturbed:contextualized,train-perturbed-test-perturbed:contextualized,-6.566,0.0,***,1.565289462125876e-08,semantic-distance
3,train-intact-test-perturbed:contextualized,train-perturbed-test-perturbed:decontextualized,1.457,0.301,n.s.,0.15046139448327578,semantic-distance
4,train-intact-test-perturbed:decontextualized,train-intact-test-perturbed:contextualized,-0.704,0.646,n.s.,0.48421520075868185,semantic-distance
5,train-intact-test-perturbed:decontextualized,train-intact-test-perturbed:decontextualized,0.0,1.0,n.s.,1.0,semantic-distance
6,train-intact-test-perturbed:decontextualized,train-perturbed-test-perturbed:contextualized,-8.048,0.0,***,5.089351060551863e-11,semantic-distance
7,train-intact-test-perturbed:decontextualized,train-perturbed-test-perturbed:decontextualized,0.725,0.646,n.s.,0.4714638856389748,semantic-distance
8,train-perturbed-test-perturbed:contextualized,train-intact-test-perturbed:contextualized,6.566,0.0,***,1.565289462125876e-08,semantic-distance
9,train-perturbed-test-perturbed:contextualized,train-intact-test-perturbed:decontextualized,8.048,0.0,***,5.089351060551863e-11,semantic-distance
10,train-perturbed-test-perturbed:contextualized,train-perturbed-test-perturbed:contextualized,0.0,1.0,n.s.,1.0,semantic-distance
11,train-perturbed-test-perturbed:contextualized,train-perturbed-test-perturbed:decontextualized,10.74,0.0,***,2.05961201735096e-15,semantic-distance
12,train-perturbed-test-perturbed:decontextualized,train-intact-test-perturbed:contextualized,-1.457,0.301,n.s.,0.15046139448327578,semantic-distance
13,train-perturbed-test-perturbed:decontextualized,train-intact-test-perturbed:decontextualized,-0.725,0.646,n.s.,0.4714638856389748,semantic-distance
14,train-perturbed-test-perturbed:decontextualized,train-perturbed-test-perturbed:contextualized,-10.74,0.0,***,2.05961201735096e-15,semantic-distance
15,train-perturbed-test-perturbed:decontextualized,train-perturbed-test-perturbed:decontextualized,0.0,1.0,n.s.,1.0,semantic-distance
